Date,Description,Amount,Category,Type
2025-06-10,CASHBACK CREDIT,295.12,,Credit
2025-07-17,FLIPKART,7492.7,,Debit
2025-12-10,BONUS CREDIT,1653.49,,Credit
2024-04-21,UDEMY COURSE,1570.69,,Debit
2025-06-16,FREELANCE PAYMENT,7070.0,,Credit
2025-10-10,OLA CABS,542.48,,Debit
2025-01-05,FREELANCE PAYMENT,15389.95,,Credit
2024-04-04,UDEMY COURSE,1477.94,,Debit
2025-07-03,ELECTRICITY BILL,1506.48,,Debit
2025-11-13,DOMINOS PIZZA,939.36,,Debit
2025-09-12,GYM MEMBERSHIP,508.12,,Debit
2024-12-29,SWIGGY,700.22,,Debit
2025-02-04,LOCAL RESTAURANT,1767.28,,Debit
2024-07-30,PVR CINEMAS,387.75,,Debit
2024-06-23,SPOTIFY,225.41,,Debit
2025-10-22,FLIPKART,8143.08,,Debit
2025-09-06,STARBUCKS,889.94,,Debit
2025-05-27,GAS CYLINDER,1062.23,,Debit
2025-03-09,ZOMATO,660.64,,Debit
2025-08-09,AMAZON.COM,596.05,,Debit
2024-09-03,STARBUCKS,810.25,,Debit
2025-06-06,INTERNET BILL,831.19,,Debit
2025-03-24,ELECTRICITY BILL,1315.07,,Debit
2025-03-27,RAPIDO,464.67,,Debit
2025-10-07,PETROL PUMP,2231.18,,Debit
2025-12-03,FREELANCE PAYMENT,15935.62,,Credit
2025-11-09,INTERNET BILL,1129.44,,Debit
2025-11-12,MOBILE RECHARGE,990.57,,Debit
2024-04-15,CASHBACK CREDIT,1014.42,,Credit
2025-10-22,SALARY CREDIT,54675.77,,Credit
2025-08-22,UDEMY COURSE,1642.56,,Debit
2024-12-29,RAPIDO,183.61,,Debit
2025-06-08,AMAZON PRIME,862.55,,Debit
2025-08-16,OLA CABS,1099.81,,Debit
2024-08-11,STARBUCKS,953.5,,Debit
2025-10-22,RAPIDO,549.32,,Debit
2025-10-11,SALARY CREDIT,69737.95,,Credit
2025-02-15,FLIPKART,1851.62,,Debit
2024-11-06,APOLLO PHARMACY,1114.76,,Debit
2024-01-18,PVR CINEMAS,951.06,,Debit
2024-08-15,OLA CABS,517.03,,Debit
2024-08-12,DMART,822.34,,Debit
2024-08-15,GYM MEMBERSHIP,869.25,,Debit
2024-05-13,MCDONALDS,470.33,,Debit
2025-01-02,UDEMY COURSE,1368.48,,Debit
2025-09-21,AMAZON.COM,5779.91,,Debit
2024-11-05,SPOTIFY,221.06,,Debit
2025-08-11,GYM MEMBERSHIP,535.32,,Debit
2024-07-21,APOLLO PHARMACY,1660.11,,Debit
2024-06-22,UDEMY COURSE,1154.29,,Debit
2025-09-09,MCDONALDS,519.9,,Debit
2024-05-14,FREELANCE PAYMENT,23135.86,,Credit
2025-06-06,BONUS CREDIT,226.05,,Credit
2025-06-19,APOLLO PHARMACY,2026.45,,Debit
2025-05-24,MYNTRA,1420.77,,Debit
2024-04-30,RAPIDO,774.22,,Debit
2024-11-07,NETFLIX,519.11,,Debit
2024-12-29,FREELANCE PAYMENT,6174.53,,Credit
2025-01-03,UBER,1278.68,,Debit
2024-02-04,AMAZON.COM,3436.69,,Debit
2024-07-01,DOMINOS PIZZA,905.83,,Debit
2024-09-27,NETFLIX,605.83,,Debit
2025-04-14,PVR CINEMAS,1511.83,,Debit
2024-11-28,SPOTIFY,257.98,,Debit
2024-03-25,UBER,877.12,,Debit
2025-04-28,DOMINOS PIZZA,280.48,,Debit
