Date,Description,Amount,Category,Type
01-02-2024,SALARY CREDIT,52000,,Credit
01-02-2024,GYM MEMBERSHIP,-1500,,Debit
01-02-2024,YOUTUBE PREMIUM,-129,,Debit
01-02-2024,HOTSTAR,-299,,Debit
01-02-2024,AMAZON PRIME,-299,,Debit
01-02-2024,NETFLIX,-649,,Debit
01-02-2024,SPOTIFY,-119,,Debit
01-02-2024,WATER BILL,-250,,Debit
01-02-2024,MOBILE RECHARGE,-299,,Debit
01-02-2024,INTERNET BILL,-799,,Debit
01-02-2024,ELECTRICITY BILL,-1200,,Debit
01-02-2024,RENT,-12000,,Debit
01-02-2024,GAS CYLINDER,-900,,Debit
02-02-2024,DMART,-1200,,Debit
02-02-2024,ZOMATO,-420,,Debit
02-02-2024,UBER,-180,,Debit
03-02-2024,VEGETABLE MARKET,-420,,Debit
03-02-2024,STATIONERY,-180,,Debit
03-02-2024,SWIGGY,-350,,Debit
03-02-2024,RAPIDO,-90,,Debit
04-02-2024,APOLLO PHARMACY,-280,,Debit
04-02-2024,PETROL PUMP,-1400,,Debit
04-02-2024,MCDONALDS,-450,,Debit
05-02-2024,ZOMATO,-380,,Debit
05-02-2024,OLA CABS,-200,,Debit
05-02-2024,AMAZON.COM,-1499,,Debit
06-02-2024,STARBUCKS,-520,,Debit
06-02-2024,RAPIDO,-110,,Debit
06-02-2024,MILK SUBSCRIPTION,-180,,Debit
06-02-2024,BURGER KING,-350,,Debit
07-02-2024,PVR CINEMAS,-600,,Debit
07-02-2024,BOOKMYSHOW,-600,,Debit
07-02-2024,SWIGGY,-290,,Debit
07-02-2024,LOCAL RESTAURANT,-380,,Debit
08-02-2024,UBER,-220,,Debit
08-02-2024,MEDPLUS,-420,,Debit
08-02-2024,METRO CARD RECHARGE,-200,,Debit
08-02-2024,ZOMATO,-310,,Debit
09-02-2024,MCDONALDS,-390,,Debit
09-02-2024,PETROL PUMP,-1300,,Debit
09-02-2024,FRUIT MARKET,-280,,Debit
09-02-2024,INOX MOVIES,-500,,Debit
10-02-2024,NATURAL ICE CREAM,-200,,Debit
10-02-2024,STARBUCKS,-480,,Debit
10-02-2024,SWIGGY,-260,,Debit
10-02-2024,FREELANCE PAYMENT,6000,,Credit
11-02-2024,ZOMATO,-550,,Debit
11-02-2024,HOUSE CLEANING,-400,,Debit
11-02-2024,OLA CABS,-170,,Debit
11-02-2024,DMART,-1500,,Debit
12-02-2024,RAPIDO,-95,,Debit
12-02-2024,GROCERY STORE,-980,,Debit
12-02-2024,DIAGNOSTIC LAB,-600,,Debit
12-02-2024,CAFE COFFEE DAY,-220,,Debit
13-02-2024,SWIGGY,-320,,Debit
13-02-2024,LOCAL RESTAURANT,-290,,Debit
13-02-2024,FLIPKART,-2999,,Debit
13-02-2024,ORGANIC STORE,-580,,Debit
14-02-2024,KFC,-480,,Debit
14-02-2024,DOCTOR CONSULTATION,-800,,Debit
14-02-2024,UBER,-250,,Debit
14-02-2024,ZOMATO,-480,,Debit
15-02-2024,LIC PREMIUM,-1000,,Debit
15-02-2024,HAIRCUT SALON,-300,,Debit
15-02-2024,PETROL PUMP,-1500,,Debit
15-02-2024,MCDONALDS,-420,,Debit
15-02-2024,FASTAG RECHARGE,-300,,Debit
16-02-2024,VEGETABLE MARKET,-350,,Debit
16-02-2024,OLA CABS,-190,,Debit
16-02-2024,INDIAN RAILWAYS,-800,,Debit
16-02-2024,SWIGGY,-280,,Debit
16-02-2024,PIZZA HUT,-720,,Debit
17-02-2024,STARBUCKS,-560,,Debit
17-02-2024,BOOKS PURCHASE,-550,,Debit
17-02-2024,ZOMATO,-410,,Debit
17-02-2024,MYNTRA,-2500,,Debit
18-02-2024,BASKIN ROBBINS,-280,,Debit
18-02-2024,SWIGGY,-240,,Debit
18-02-2024,RAPIDO,-120,,Debit
18-02-2024,APOLLO PHARMACY,-350,,Debit
19-02-2024,LOCAL RESTAURANT,-320,,Debit
19-02-2024,UBER,-190,,Debit
19-02-2024,SUPERMARKET,-1100,,Debit
19-02-2024,FRUIT MARKET,-220,,Debit
20-02-2024,ZOMATO,-370,,Debit
20-02-2024,REFERRAL BONUS,400,,Credit
20-02-2024,HALDIRAMS,-280,,Debit
20-02-2024,CAFE COFFEE DAY,-240,,Debit
20-02-2024,HEALTH INSURANCE,-500,,Debit
20-02-2024,CASHBACK CREDIT,200,,Credit
21-02-2024,SUBWAY,-260,,Debit
21-02-2024,DMART,-1800,,Debit
21-02-2024,OLA CABS,-160,,Debit
21-02-2024,SWIGGY,-310,,Debit
22-02-2024,MCDONALDS,-360,,Debit
22-02-2024,COURSERA,-1999,,Debit
22-02-2024,PARKING CHARGES,-100,,Debit
22-02-2024,PETROL PUMP,-1200,,Debit
23-02-2024,GAMING PURCHASE,-599,,Debit
23-02-2024,STARBUCKS,-500,,Debit
23-02-2024,AMAZON.COM,-1999,,Debit
23-02-2024,ZOMATO,-490,,Debit
24-02-2024,SWIGGY,-270,,Debit
24-02-2024,RAPIDO,-85,,Debit
24-02-2024,MILK SUBSCRIPTION,-180,,Debit
24-02-2024,CHAAYOS,-160,,Debit
25-02-2024,BAKERY,-220,,Debit
25-02-2024,LOCAL RESTAURANT,-350,,Debit
25-02-2024,UBER,-210,,Debit
25-02-2024,INTEREST CREDIT,210,,Credit
25-02-2024,FISH MARKET,-420,,Debit
26-02-2024,ZOMATO,-430,,Debit
26-02-2024,MEDPLUS,-280,,Debit
26-02-2024,DECATHLON,-1200,,Debit
26-02-2024,CAFE COFFEE DAY,-260,,Debit
27-02-2024,SWIGGY,-300,,Debit
27-02-2024,PETROL PUMP,-1100,,Debit
27-02-2024,VEGETABLE MARKET,-380,,Debit
28-02-2024,ZOMATO,-510,,Debit
28-02-2024,SIP INVESTMENT,-2000,,Debit
28-02-2024,OLA CABS,-230,,Debit
28-02-2024,NYKAA,-1500,,Debit
28-02-2024,STARBUCKS,-480,,Debit
28-02-2024,LAUNDRY SERVICE,-250,,Debit
28-02-2024,TESLA,-5000,,Debit
28-02-2024,ZUDIO,-3000,,Debit
