Date,Description,Amount,Category,Type
2024-03-01,SALARY CREDIT,52000.0,,Credit
2024-03-01,GYM MEMBERSHIP,-1500.0,,Debit
2024-03-01,YOUTUBE PREMIUM,-129.0,,Debit
2024-03-01,HOTSTAR,-299.0,,Debit
2024-03-01,AMAZON PRIME,-299.0,,Debit
2024-03-01,NETFLIX,-649.0,,Debit
2024-03-01,SPOTIFY,-119.0,,Debit
2024-03-01,WATER BILL,-250.0,,Debit
2024-03-01,MOBILE RECHARGE,-299.0,,Debit
2024-03-01,INTERNET BILL,-799.0,,Debit
2024-03-01,ELECTRICITY BILL,-870.0,,Debit
2024-03-01,RENT,-12000.0,,Debit
2024-03-01,GAS CYLINDER,-900.0,,Debit
2024-03-02,DMART,-900.0,,Debit
2024-03-02,ZOMATO,-280.0,,Debit
2024-03-02,UBER,-150.0,,Debit
2024-03-03,RAPIDO,-70.0,,Debit
2024-03-03,VEGETABLE MARKET,-300.0,,Debit
2024-03-03,SWIGGY,-200.0,,Debit
2024-03-04,MCDONALDS,-320.0,,Debit
2024-03-04,PETROL PUMP,-1000.0,,Debit
2024-03-04,APOLLO PHARMACY,-200.0,,Debit
2024-03-05,KFC,-320.0,,Debit
2024-03-05,ZOMATO,-310.0,,Debit
2024-03-05,OLA CABS,-140.0,,Debit
2024-03-05,AMAZON.COM,-899.0,,Debit
2024-03-06,MILK SUBSCRIPTION,-180.0,,Debit
2024-03-06,STARBUCKS,-380.0,,Debit
2024-03-06,RAPIDO,-80.0,,Debit
2024-03-07,SWIGGY,-180.0,,Debit
2024-03-07,LOCAL RESTAURANT,-250.0,,Debit
2024-03-07,BOOKMYSHOW,-400.0,,Debit
2024-03-07,PVR CINEMAS,-500.0,,Debit
2024-03-08,ZOMATO,-260.0,,Debit
2024-03-08,UBER,-170.0,,Debit
2024-03-08,MEDPLUS,-180.0,,Debit
2024-03-08,BURGER KING,-260.0,,Debit
2024-03-09,INDIAN RAILWAYS,-500.0,,Debit
2024-03-09,PETROL PUMP,-950.0,,Debit
2024-03-09,MCDONALDS,-280.0,,Debit
2024-03-09,FRUIT MARKET,-200.0,,Debit
2024-03-10,STARBUCKS,-350.0,,Debit
2024-03-10,METRO CARD RECHARGE,-200.0,,Debit
2024-03-10,SWIGGY,-220.0,,Debit
2024-03-10,FREELANCE PAYMENT,10000.0,,Credit
2024-03-11,OLA CABS,-130.0,,Debit
2024-03-11,ORGANIC STORE,-380.0,,Debit
2024-03-11,ZOMATO,-340.0,,Debit
2024-03-11,DMART,-750.0,,Debit
2024-03-12,RAPIDO,-65.0,,Debit
2024-03-12,GROCERY STORE,-680.0,,Debit
2024-03-12,CAFE COFFEE DAY,-180.0,,Debit
2024-03-12,PIZZA HUT,-480.0,,Debit
2024-03-13,STATIONERY,-150.0,,Debit
2024-03-13,FLIPKART,-1299.0,,Debit
2024-03-13,LOCAL RESTAURANT,-220.0,,Debit
2024-03-13,SWIGGY,-190.0,,Debit
2024-03-14,DOCTOR CONSULTATION,-500.0,,Debit
2024-03-14,UBER,-160.0,,Debit
2024-03-14,ZOMATO,-290.0,,Debit
2024-03-14,HEALTH INSURANCE,-500.0,,Debit
2024-03-15,HAIRCUT SALON,-250.0,,Debit
2024-03-15,HOUSE CLEANING,-400.0,,Debit
2024-03-15,MCDONALDS,-250.0,,Debit
2024-03-15,LIC PREMIUM,-1000.0,,Debit
2024-03-15,PETROL PUMP,-900.0,,Debit
2024-03-16,SWIGGY,-210.0,,Debit
2024-03-16,VEGETABLE MARKET,-280.0,,Debit
2024-03-16,HALDIRAMS,-180.0,,Debit
2024-03-16,OLA CABS,-120.0,,Debit
2024-03-17,ZOMATO,-320.0,,Debit
2024-03-17,AMAZON.COM,-1299.0,,Debit
2024-03-17,STARBUCKS,-400.0,,Debit
2024-03-17,INOX MOVIES,-400.0,,Debit
2024-03-18,FASTAG RECHARGE,-300.0,,Debit
2024-03-18,APOLLO PHARMACY,-250.0,,Debit
2024-03-18,RAPIDO,-75.0,,Debit
2024-03-18,SWIGGY,-170.0,,Debit
2024-03-19,SUPERMARKET,-800.0,,Debit
2024-03-19,CHAAYOS,-120.0,,Debit
2024-03-19,LOCAL RESTAURANT,-240.0,,Debit
2024-03-19,UBER,-140.0,,Debit
2024-03-19,FRUIT MARKET,-180.0,,Debit
2024-03-20,SUBWAY,-200.0,,Debit
2024-03-20,ZOMATO,-270.0,,Debit
2024-03-20,CAFE COFFEE DAY,-160.0,,Debit
2024-03-20,CASHBACK CREDIT,250.0,,Credit
2024-03-21,SWIGGY,-230.0,,Debit
2024-03-21,REFERRAL BONUS,300.0,,Credit
2024-03-21,OLA CABS,-150.0,,Debit
2024-03-21,DMART,-850.0,,Debit
2024-03-22,BOOKS PURCHASE,-400.0,,Debit
2024-03-22,PARKING CHARGES,-80.0,,Debit
2024-03-22,MCDONALDS,-270.0,,Debit
2024-03-22,PETROL PUMP,-1050.0,,Debit
2024-03-23,ZOMATO,-350.0,,Debit
2024-03-23,MYNTRA,-1500.0,,Debit
2024-03-23,STARBUCKS,-420.0,,Debit
2024-03-23,NATURAL ICE CREAM,-150.0,,Debit
2024-03-24,FISH MARKET,-320.0,,Debit
2024-03-24,RAPIDO,-80.0,,Debit
2024-03-24,MILK SUBSCRIPTION,-180.0,,Debit
2024-03-24,SWIGGY,-200.0,,Debit
2024-03-25,GAMING PURCHASE,-299.0,,Debit
2024-03-25,LOCAL RESTAURANT,-260.0,,Debit
2024-03-25,INTEREST CREDIT,210.0,,Credit
2024-03-25,UBER,-155.0,,Debit
2024-03-26,BAKERY,-180.0,,Debit
2024-03-26,MEDPLUS,-150.0,,Debit
2024-03-26,CAFE COFFEE DAY,-170.0,,Debit
2024-03-26,ZOMATO,-300.0,,Debit
2024-03-27,SWIGGY,-190.0,,Debit
2024-03-27,VEGETABLE MARKET,-260.0,,Debit
2024-03-27,DECATHLON,-800.0,,Debit
2024-03-27,PETROL PUMP,-980.0,,Debit
2024-03-28,FLIPKART,-999.0,,Debit
2024-03-28,OLA CABS,-140.0,,Debit
2024-03-28,ZOMATO,-310.0,,Debit
2024-03-28,SIP INVESTMENT,-2000.0,,Debit
2024-03-29,LAUNDRY SERVICE,-200.0,,Debit
2024-03-29,STARBUCKS,-360.0,,Debit
2024-03-29,MCDONALDS,-230.0,,Debit
2024-03-30,SWIGGY,-180.0,,Debit
2024-03-30,RAPIDO,-60.0,,Debit
2024-03-30,GROCERY STORE,-550.0,,Debit
2024-03-31,ZOMATO,-290.0,,Debit
2024-03-31,DIVIDEND CREDIT,500.0,,Credit
2024-03-31,UBER,-145.0,,Debit
2024-03-31,UDEMY COURSE,-499.0,,Debit
