Date,Description,Amount,Category,Type
2024-01-01,SALARY CREDIT,52000.0,,Credit
2024-01-01,GYM MEMBERSHIP,-1500.0,,Debit
2024-01-01,HOTSTAR,-299.0,,Debit
2024-01-01,AMAZON PRIME,-299.0,,Debit
2024-01-01,SPOTIFY,-119.0,,Debit
2024-01-01,NETFLIX,-649.0,,Debit
2024-01-01,YOUTUBE PREMIUM,-129.0,,Debit
2024-01-01,WATER BILL,-250.0,,Debit
2024-01-01,MOBILE RECHARGE,-299.0,,Debit
2024-01-01,INTERNET BILL,-799.0,,Debit
2024-01-01,ELECTRICITY BILL,-950.0,,Debit
2024-01-01,RENT,-12000.0,,Debit
2024-01-01,GAS CYLINDER,-900.0,,Debit
2024-01-02,ZOMATO,-180.0,,Debit
2024-01-02,UBER,-120.0,,Debit
2024-01-02,DMART,-850.0,,Debit
2024-01-03,SWIGGY,-150.0,,Debit
2024-01-03,RAPIDO,-60.0,,Debit
2024-01-03,VEGETABLE MARKET,-320.0,,Debit
2024-01-04,APOLLO PHARMACY,-350.0,,Debit
2024-01-04,MCDONALDS,-280.0,,Debit
2024-01-04,PETROL PUMP,-800.0,,Debit
2024-01-05,AMAZON.COM,-699.0,,Debit
2024-01-05,KFC,-350.0,,Debit
2024-01-05,ZOMATO,-220.0,,Debit
2024-01-05,OLA CABS,-150.0,,Debit
2024-01-06,RAPIDO,-80.0,,Debit
2024-01-06,MILK SUBSCRIPTION,-180.0,,Debit
2024-01-06,PVR CINEMAS,-500.0,,Debit
2024-01-06,STARBUCKS,-320.0,,Debit
2024-01-07,SWIGGY,-200.0,,Debit
2024-01-07,LOCAL RESTAURANT,-250.0,,Debit
2024-01-07,BOOKMYSHOW,-300.0,,Debit
2024-01-07,REFERRAL BONUS,300.0,,Credit
2024-01-08,ZOMATO,-160.0,,Debit
2024-01-08,UBER,-140.0,,Debit
2024-01-08,MEDPLUS,-280.0,,Debit
2024-01-08,BURGER KING,-280.0,,Debit
2024-01-09,FRUIT MARKET,-200.0,,Debit
2024-01-09,MCDONALDS,-300.0,,Debit
2024-01-09,PETROL PUMP,-750.0,,Debit
